prompt,response,instructions
"Attacker HP: 888, MP: 69. Supporter HP: 2295, MP: 83. Enemy HP: 5458, MP: 10. Attacker items: {'potion': 2, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 2, 'grenade': 0, 'elixer': 0}. Last enemy move: attack.","{""attacker"": ""elixer"", ""supporter"": ""fire spell""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 917, MP: 98. Supporter HP: 829, MP: 113. Enemy HP: 864, MP: 139. Attacker items: {'potion': 2, 'grenade': 0, 'elixer': 1}. Supporter items: {'potion': 0, 'grenade': 1, 'elixer': 1}. Last enemy move: attack.","{""attacker"": ""thunder spell"", ""supporter"": ""cura_m""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 1550, MP: 33. Supporter HP: 2136, MP: 153. Enemy HP: 127, MP: 43. Attacker items: {'potion': 0, 'grenade': 1, 'elixer': 0}. Supporter items: {'potion': 0, 'grenade': 2, 'elixer': 0}. Last enemy move: attack.","{""attacker"": ""grenade"", ""supporter"": ""fire spell""}","{""attacker"": ""Attacker: [thunder spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 336, MP: 88. Supporter HP: 134, MP: 1. Enemy HP: 5650, MP: 408. Attacker items: {'potion': 2, 'grenade': 2, 'elixer': 0}. Supporter items: {'potion': 0, 'grenade': 2, 'elixer': 1}. Last enemy move: cura spell.","{""attacker"": ""attack"", ""supporter"": ""attack""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [elixer] to fully restore MP and HP""}"
"Attacker HP: 1730, MP: 20. Supporter HP: 1398, MP: 57. Enemy HP: 6687, MP: 229. Attacker items: {'potion': 0, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 1, 'grenade': 2, 'elixer': 1}. Last enemy move: fire spell.","{""attacker"": ""elixer"", ""supporter"": ""splash""}","{""attacker"": ""Attacker: [grenade] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 1122, MP: 65. Supporter HP: 1211, MP: 132. Enemy HP: 4272, MP: 0. Attacker items: {'potion': 2, 'grenade': 2, 'elixer': 0}. Supporter items: {'potion': 1, 'grenade': 2, 'elixer': 0}. Last enemy move: attack.","{""attacker"": ""meteor spell"", ""supporter"": ""attack""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 692, MP: 17. Supporter HP: 1869, MP: 138. Enemy HP: 3423, MP: 516. Attacker items: {'potion': 2, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 3, 'grenade': 1, 'elixer': 0}. Last enemy move: cura spell.","{""attacker"": ""potion"", ""supporter"": ""splash""}","{""attacker"": ""Attacker: [grenade] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 980, MP: 45. Supporter HP: 416, MP: 15. Enemy HP: 6496, MP: 631. Attacker items: {'potion': 1, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 2, 'grenade': 0, 'elixer': 0}. Last enemy move: attack.","{""attacker"": ""meteor spell"", ""supporter"": ""attack""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [potion] to restore some HP""}"
"Attacker HP: 1286, MP: 25. Supporter HP: 1393, MP: 58. Enemy HP: 5476, MP: 431. Attacker items: {'potion': 2, 'grenade': 1, 'elixer': 1}. Supporter items: {'potion': 0, 'grenade': 0, 'elixer': 0}. Last enemy move: cura spell.","{""attacker"": ""grenade"", ""supporter"": ""cura spell""}","{""attacker"": ""Attacker: [fire spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 1893, MP: 52. Supporter HP: 1660, MP: 76. Enemy HP: 5121, MP: 358. Attacker items: {'potion': 1, 'grenade': 0, 'elixer': 0}. Supporter items: {'potion': 0, 'grenade': 1, 'elixer': 1}. Last enemy move: attack.","{""attacker"": ""thunder spell"", ""supporter"": ""cura_m""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 695, MP: 19. Supporter HP: 1856, MP: 116. Enemy HP: 4622, MP: 600. Attacker items: {'potion': 1, 'grenade': 1, 'elixer': 1}. Supporter items: {'potion': 1, 'grenade': 2, 'elixer': 1}. Last enemy move: attack.","{""attacker"": ""elixer"", ""supporter"": ""cura_totm""}","{""attacker"": ""Attacker: [grenade] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 2213, MP: 29. Supporter HP: 2078, MP: 124. Enemy HP: 996, MP: 140. Attacker items: {'potion': 3, 'grenade': 1, 'elixer': 1}. Supporter items: {'potion': 0, 'grenade': 2, 'elixer': 0}. Last enemy move: fire spell.","{""attacker"": ""elixer"", ""supporter"": ""splash""}","{""attacker"": ""Attacker: [fire spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 71, MP: 23. Supporter HP: 909, MP: 24. Enemy HP: 5348, MP: 506. Attacker items: {'potion': 2, 'grenade': 0, 'elixer': 0}. Supporter items: {'potion': 3, 'grenade': 1, 'elixer': 0}. Last enemy move: fire spell.","{""attacker"": ""grenade"", ""supporter"": ""attack""}","{""attacker"": ""Attacker: [potion] to restore some HP"", ""supporter"": ""Supporter: [attack] as default action""}"
"Attacker HP: 1269, MP: 96. Supporter HP: 2285, MP: 19. Enemy HP: 4616, MP: 441. Attacker items: {'potion': 0, 'grenade': 1, 'elixer': 1}. Supporter items: {'potion': 2, 'grenade': 2, 'elixer': 0}. Last enemy move: fire spell.","{""attacker"": ""fire spell"", ""supporter"": ""splash""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [attack] as default action""}"
"Attacker HP: 247, MP: 31. Supporter HP: 642, MP: 145. Enemy HP: 330, MP: 328. Attacker items: {'potion': 3, 'grenade': 1, 'elixer': 0}. Supporter items: {'potion': 2, 'grenade': 2, 'elixer': 0}. Last enemy move: attack.","{""attacker"": ""elixer"", ""supporter"": ""cura_tot""}","{""attacker"": ""Attacker: [potion] to restore some HP"", ""supporter"": ""Supporter: [cura_m] to heal attacker""}"
"Attacker HP: 2522, MP: 22. Supporter HP: 656, MP: 169. Enemy HP: 4591, MP: 43. Attacker items: {'potion': 1, 'grenade': 0, 'elixer': 0}. Supporter items: {'potion': 1, 'grenade': 0, 'elixer': 1}. Last enemy move: cura spell.","{""attacker"": ""grenade"", ""supporter"": ""cura_tot""}","{""attacker"": ""Attacker: [grenade] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 599, MP: 68. Supporter HP: 1438, MP: 177. Enemy HP: 1345, MP: 112. Attacker items: {'potion': 2, 'grenade': 1, 'elixer': 1}. Supporter items: {'potion': 3, 'grenade': 0, 'elixer': 1}. Last enemy move: attack.","{""attacker"": ""cura spell"", ""supporter"": ""cura_m""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [cura_m] to heal attacker""}"
"Attacker HP: 522, MP: 48. Supporter HP: 1814, MP: 172. Enemy HP: 6433, MP: 588. Attacker items: {'potion': 2, 'grenade': 1, 'elixer': 0}. Supporter items: {'potion': 1, 'grenade': 1, 'elixer': 0}. Last enemy move: attack.","{""attacker"": ""blizzard spell"", ""supporter"": ""cura_m""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [cura_m] to heal attacker""}"
"Attacker HP: 1247, MP: 14. Supporter HP: 421, MP: 153. Enemy HP: 1143, MP: 690. Attacker items: {'potion': 1, 'grenade': 1, 'elixer': 1}. Supporter items: {'potion': 1, 'grenade': 0, 'elixer': 0}. Last enemy move: cura spell.","{""attacker"": ""grenade"", ""supporter"": ""cura_tot""}","{""attacker"": ""Attacker: [grenade] to maximize damage"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
"Attacker HP: 1847, MP: 24. Supporter HP: 2268, MP: 132. Enemy HP: 1713, MP: 511. Attacker items: {'potion': 1, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 2, 'grenade': 2, 'elixer': 0}. Last enemy move: attack.","{""attacker"": ""potion"", ""supporter"": ""attack""}","{""attacker"": ""Attacker: [grenade] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 654, MP: 23. Supporter HP: 2164, MP: 13. Enemy HP: 2673, MP: 67. Attacker items: {'potion': 0, 'grenade': 1, 'elixer': 1}. Supporter items: {'potion': 3, 'grenade': 0, 'elixer': 0}. Last enemy move: cura spell.","{""attacker"": ""potion"", ""supporter"": ""attack""}","{""attacker"": ""Attacker: [grenade] to maximize damage"", ""supporter"": ""Supporter: [attack] as default action""}"
"Attacker HP: 648, MP: 23. Supporter HP: 181, MP: 152. Enemy HP: 2236, MP: 281. Attacker items: {'potion': 1, 'grenade': 1, 'elixer': 1}. Supporter items: {'potion': 0, 'grenade': 0, 'elixer': 0}. Last enemy move: attack.","{""attacker"": ""grenade"", ""supporter"": ""cura_tot""}","{""attacker"": ""Attacker: [grenade] to maximize damage"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
"Attacker HP: 681, MP: 120. Supporter HP: 1914, MP: 21. Enemy HP: 92, MP: 29. Attacker items: {'potion': 2, 'grenade': 2, 'elixer': 0}. Supporter items: {'potion': 1, 'grenade': 1, 'elixer': 1}. Last enemy move: fire spell.","{""attacker"": ""attack"", ""supporter"": ""splash""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [attack] as default action""}"
"Attacker HP: 876, MP: 112. Supporter HP: 2209, MP: 125. Enemy HP: 4514, MP: 185. Attacker items: {'potion': 0, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 3, 'grenade': 0, 'elixer': 0}. Last enemy move: cura spell.","{""attacker"": ""elixer"", ""supporter"": ""fire spell""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 575, MP: 10. Supporter HP: 1032, MP: 68. Enemy HP: 115, MP: 537. Attacker items: {'potion': 2, 'grenade': 0, 'elixer': 0}. Supporter items: {'potion': 1, 'grenade': 0, 'elixer': 1}. Last enemy move: attack.","{""attacker"": ""grenade"", ""supporter"": ""splash""}","{""attacker"": ""Attacker: [grenade] to maximize damage"", ""supporter"": ""Supporter: [cura_m] to heal attacker""}"
"Attacker HP: 899, MP: 39. Supporter HP: 948, MP: 153. Enemy HP: 6758, MP: 500. Attacker items: {'potion': 1, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 3, 'grenade': 1, 'elixer': 1}. Last enemy move: attack.","{""attacker"": ""elixer"", ""supporter"": ""cura spell""}","{""attacker"": ""Attacker: [blizzard spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 1086, MP: 19. Supporter HP: 2190, MP: 126. Enemy HP: 7885, MP: 431. Attacker items: {'potion': 0, 'grenade': 1, 'elixer': 1}. Supporter items: {'potion': 1, 'grenade': 2, 'elixer': 0}. Last enemy move: fire spell.","{""attacker"": ""potion"", ""supporter"": ""cura spell""}","{""attacker"": ""Attacker: [grenade] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 1721, MP: 105. Supporter HP: 515, MP: 75. Enemy HP: 893, MP: 588. Attacker items: {'potion': 0, 'grenade': 0, 'elixer': 1}. Supporter items: {'potion': 0, 'grenade': 2, 'elixer': 0}. Last enemy move: attack.","{""attacker"": ""thunder spell"", ""supporter"": ""cura_totm""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
"Attacker HP: 1583, MP: 10. Supporter HP: 2178, MP: 131. Enemy HP: 3822, MP: 554. Attacker items: {'potion': 3, 'grenade': 2, 'elixer': 0}. Supporter items: {'potion': 3, 'grenade': 1, 'elixer': 0}. Last enemy move: fire spell.","{""attacker"": ""attack"", ""supporter"": ""attack""}","{""attacker"": ""Attacker: [grenade] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 2277, MP: 55. Supporter HP: 1853, MP: 29. Enemy HP: 584, MP: 556. Attacker items: {'potion': 0, 'grenade': 0, 'elixer': 0}. Supporter items: {'potion': 3, 'grenade': 1, 'elixer': 1}. Last enemy move: fire spell.","{""attacker"": ""thunder spell"", ""supporter"": ""fire spell""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [attack] as default action""}"
"Attacker HP: 2410, MP: 75. Supporter HP: 1830, MP: 76. Enemy HP: 4850, MP: 675. Attacker items: {'potion': 2, 'grenade': 1, 'elixer': 0}. Supporter items: {'potion': 0, 'grenade': 0, 'elixer': 1}. Last enemy move: cura spell.","{""attacker"": ""attack"", ""supporter"": ""fire spell""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 1856, MP: 36. Supporter HP: 1084, MP: 111. Enemy HP: 6216, MP: 72. Attacker items: {'potion': 0, 'grenade': 1, 'elixer': 0}. Supporter items: {'potion': 2, 'grenade': 1, 'elixer': 0}. Last enemy move: fire spell.","{""attacker"": ""thunder spell"", ""supporter"": ""cura spell""}","{""attacker"": ""Attacker: [blizzard spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 945, MP: 40. Supporter HP: 1529, MP: 25. Enemy HP: 1550, MP: 135. Attacker items: {'potion': 2, 'grenade': 1, 'elixer': 1}. Supporter items: {'potion': 3, 'grenade': 0, 'elixer': 1}. Last enemy move: fire spell.","{""attacker"": ""cura spell"", ""supporter"": ""fire spell""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [attack] as default action""}"
"Attacker HP: 2168, MP: 31. Supporter HP: 595, MP: 88. Enemy HP: 2106, MP: 536. Attacker items: {'potion': 0, 'grenade': 1, 'elixer': 1}. Supporter items: {'potion': 2, 'grenade': 1, 'elixer': 1}. Last enemy move: attack.","{""attacker"": ""fire spell"", ""supporter"": ""fire spell""}","{""attacker"": ""Attacker: [thunder spell] to maximize damage"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
"Attacker HP: 1585, MP: 45. Supporter HP: 1887, MP: 119. Enemy HP: 3808, MP: 211. Attacker items: {'potion': 3, 'grenade': 0, 'elixer': 1}. Supporter items: {'potion': 2, 'grenade': 1, 'elixer': 0}. Last enemy move: attack.","{""attacker"": ""thunder spell"", ""supporter"": ""fire spell""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 2304, MP: 54. Supporter HP: 1080, MP: 54. Enemy HP: 1590, MP: 162. Attacker items: {'potion': 2, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 0, 'grenade': 0, 'elixer': 1}. Last enemy move: attack.","{""attacker"": ""attack"", ""supporter"": ""cura_tot""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 723, MP: 52. Supporter HP: 1606, MP: 107. Enemy HP: 5439, MP: 417. Attacker items: {'potion': 3, 'grenade': 0, 'elixer': 0}. Supporter items: {'potion': 2, 'grenade': 2, 'elixer': 0}. Last enemy move: attack.","{""attacker"": ""thunder spell"", ""supporter"": ""splash""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 2307, MP: 61. Supporter HP: 2108, MP: 105. Enemy HP: 2477, MP: 127. Attacker items: {'potion': 2, 'grenade': 2, 'elixer': 0}. Supporter items: {'potion': 3, 'grenade': 0, 'elixer': 1}. Last enemy move: cura spell.","{""attacker"": ""meteor spell"", ""supporter"": ""cura spell""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 20, MP: 79. Supporter HP: 211, MP: 58. Enemy HP: 4723, MP: 600. Attacker items: {'potion': 3, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 2, 'grenade': 0, 'elixer': 0}. Last enemy move: cura spell.","{""attacker"": ""blizzard spell"", ""supporter"": ""cura_tot""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
"Attacker HP: 2199, MP: 55. Supporter HP: 1522, MP: 54. Enemy HP: 1351, MP: 346. Attacker items: {'potion': 3, 'grenade': 1, 'elixer': 0}. Supporter items: {'potion': 0, 'grenade': 1, 'elixer': 0}. Last enemy move: cura spell.","{""attacker"": ""attack"", ""supporter"": ""cura_tot""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 383, MP: 75. Supporter HP: 2236, MP: 38. Enemy HP: 499, MP: 458. Attacker items: {'potion': 0, 'grenade': 1, 'elixer': 1}. Supporter items: {'potion': 2, 'grenade': 0, 'elixer': 1}. Last enemy move: cura spell.","{""attacker"": ""elixer"", ""supporter"": ""attack""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [cura_m] to heal attacker""}"
"Attacker HP: 1730, MP: 111. Supporter HP: 841, MP: 113. Enemy HP: 3196, MP: 526. Attacker items: {'potion': 1, 'grenade': 0, 'elixer': 0}. Supporter items: {'potion': 3, 'grenade': 1, 'elixer': 1}. Last enemy move: cura spell.","{""attacker"": ""attack"", ""supporter"": ""attack""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 1396, MP: 82. Supporter HP: 1025, MP: 165. Enemy HP: 3232, MP: 293. Attacker items: {'potion': 2, 'grenade': 0, 'elixer': 1}. Supporter items: {'potion': 1, 'grenade': 1, 'elixer': 1}. Last enemy move: cura spell.","{""attacker"": ""cura spell"", ""supporter"": ""cura spell""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 1149, MP: 59. Supporter HP: 917, MP: 161. Enemy HP: 7674, MP: 523. Attacker items: {'potion': 0, 'grenade': 2, 'elixer': 0}. Supporter items: {'potion': 0, 'grenade': 1, 'elixer': 1}. Last enemy move: attack.","{""attacker"": ""blizzard spell"", ""supporter"": ""cura_tot""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 1848, MP: 65. Supporter HP: 1885, MP: 168. Enemy HP: 7260, MP: 431. Attacker items: {'potion': 2, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 0, 'grenade': 0, 'elixer': 0}. Last enemy move: fire spell.","{""attacker"": ""grenade"", ""supporter"": ""attack""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 1843, MP: 112. Supporter HP: 1365, MP: 177. Enemy HP: 1483, MP: 243. Attacker items: {'potion': 0, 'grenade': 1, 'elixer': 0}. Supporter items: {'potion': 2, 'grenade': 2, 'elixer': 0}. Last enemy move: attack.","{""attacker"": ""potion"", ""supporter"": ""splash""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 2094, MP: 38. Supporter HP: 893, MP: 26. Enemy HP: 692, MP: 203. Attacker items: {'potion': 3, 'grenade': 0, 'elixer': 1}. Supporter items: {'potion': 0, 'grenade': 1, 'elixer': 0}. Last enemy move: fire spell.","{""attacker"": ""fire spell"", ""supporter"": ""attack""}","{""attacker"": ""Attacker: [blizzard spell] to maximize damage"", ""supporter"": ""Supporter: [attack] as default action""}"
"Attacker HP: 46, MP: 105. Supporter HP: 2094, MP: 63. Enemy HP: 4947, MP: 24. Attacker items: {'potion': 3, 'grenade': 1, 'elixer': 0}. Supporter items: {'potion': 2, 'grenade': 2, 'elixer': 0}. Last enemy move: cura spell.","{""attacker"": ""cura spell"", ""supporter"": ""fire spell""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [cura_m] to heal attacker""}"
"Attacker HP: 2356, MP: 6. Supporter HP: 1174, MP: 141. Enemy HP: 3807, MP: 229. Attacker items: {'potion': 1, 'grenade': 0, 'elixer': 1}. Supporter items: {'potion': 3, 'grenade': 0, 'elixer': 0}. Last enemy move: cura spell.","{""attacker"": ""attack"", ""supporter"": ""cura_tot""}","{""attacker"": ""Attacker: [grenade] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 2072, MP: 27. Supporter HP: 800, MP: 46. Enemy HP: 1112, MP: 698. Attacker items: {'potion': 3, 'grenade': 2, 'elixer': 0}. Supporter items: {'potion': 3, 'grenade': 1, 'elixer': 0}. Last enemy move: fire spell.","{""attacker"": ""elixer"", ""supporter"": ""cura spell""}","{""attacker"": ""Attacker: [fire spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 105, MP: 120. Supporter HP: 422, MP: 113. Enemy HP: 7352, MP: 382. Attacker items: {'potion': 3, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 0, 'grenade': 2, 'elixer': 1}. Last enemy move: attack.","{""attacker"": ""thunder spell"", ""supporter"": ""fire spell""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
"Attacker HP: 506, MP: 104. Supporter HP: 438, MP: 147. Enemy HP: 3734, MP: 49. Attacker items: {'potion': 0, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 1, 'grenade': 1, 'elixer': 0}. Last enemy move: attack.","{""attacker"": ""fire spell"", ""supporter"": ""cura_tot""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
"Attacker HP: 1830, MP: 115. Supporter HP: 936, MP: 19. Enemy HP: 4039, MP: 29. Attacker items: {'potion': 0, 'grenade': 0, 'elixer': 1}. Supporter items: {'potion': 1, 'grenade': 1, 'elixer': 1}. Last enemy move: cura spell.","{""attacker"": ""elixer"", ""supporter"": ""attack""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [attack] as default action""}"
"Attacker HP: 2154, MP: 65. Supporter HP: 2017, MP: 138. Enemy HP: 2882, MP: 187. Attacker items: {'potion': 0, 'grenade': 1, 'elixer': 0}. Supporter items: {'potion': 3, 'grenade': 1, 'elixer': 0}. Last enemy move: attack.","{""attacker"": ""blizzard spell"", ""supporter"": ""cura_totm""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 2537, MP: 88. Supporter HP: 1598, MP: 49. Enemy HP: 5114, MP: 375. Attacker items: {'potion': 0, 'grenade': 1, 'elixer': 1}. Supporter items: {'potion': 3, 'grenade': 1, 'elixer': 1}. Last enemy move: attack.","{""attacker"": ""potion"", ""supporter"": ""cura_tot""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 1501, MP: 32. Supporter HP: 17, MP: 148. Enemy HP: 2609, MP: 693. Attacker items: {'potion': 2, 'grenade': 1, 'elixer': 1}. Supporter items: {'potion': 3, 'grenade': 1, 'elixer': 1}. Last enemy move: fire spell.","{""attacker"": ""thunder spell"", ""supporter"": ""cura_tot""}","{""attacker"": ""Attacker: [thunder spell] to maximize damage"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
"Attacker HP: 1103, MP: 80. Supporter HP: 296, MP: 99. Enemy HP: 4078, MP: 552. Attacker items: {'potion': 3, 'grenade': 2, 'elixer': 0}. Supporter items: {'potion': 0, 'grenade': 1, 'elixer': 1}. Last enemy move: attack.","{""attacker"": ""blizzard spell"", ""supporter"": ""cura spell""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
"Attacker HP: 1111, MP: 100. Supporter HP: 1870, MP: 6. Enemy HP: 6028, MP: 431. Attacker items: {'potion': 0, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 1, 'grenade': 0, 'elixer': 1}. Last enemy move: cura spell.","{""attacker"": ""meteor spell"", ""supporter"": ""attack""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [attack] as default action""}"
"Attacker HP: 590, MP: 68. Supporter HP: 1409, MP: 141. Enemy HP: 5234, MP: 203. Attacker items: {'potion': 2, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 3, 'grenade': 2, 'elixer': 0}. Last enemy move: fire spell.","{""attacker"": ""thunder spell"", ""supporter"": ""splash""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [cura_m] to heal attacker""}"
"Attacker HP: 1880, MP: 42. Supporter HP: 1043, MP: 174. Enemy HP: 3420, MP: 128. Attacker items: {'potion': 0, 'grenade': 0, 'elixer': 1}. Supporter items: {'potion': 0, 'grenade': 1, 'elixer': 0}. Last enemy move: cura spell.","{""attacker"": ""fire spell"", ""supporter"": ""splash""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 131, MP: 113. Supporter HP: 845, MP: 121. Enemy HP: 5574, MP: 524. Attacker items: {'potion': 1, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 3, 'grenade': 2, 'elixer': 1}. Last enemy move: attack.","{""attacker"": ""blizzard spell"", ""supporter"": ""cura_tot""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [cura_m] to heal attacker""}"
"Attacker HP: 884, MP: 79. Supporter HP: 365, MP: 34. Enemy HP: 3519, MP: 165. Attacker items: {'potion': 0, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 1, 'grenade': 0, 'elixer': 1}. Last enemy move: attack.","{""attacker"": ""fire spell"", ""supporter"": ""cura_tot""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
"Attacker HP: 212, MP: 103. Supporter HP: 1187, MP: 97. Enemy HP: 7254, MP: 556. Attacker items: {'potion': 2, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 2, 'grenade': 1, 'elixer': 1}. Last enemy move: cura spell.","{""attacker"": ""potion"", ""supporter"": ""attack""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [cura_m] to heal attacker""}"
"Attacker HP: 2053, MP: 26. Supporter HP: 1250, MP: 174. Enemy HP: 6490, MP: 443. Attacker items: {'potion': 3, 'grenade': 0, 'elixer': 1}. Supporter items: {'potion': 2, 'grenade': 2, 'elixer': 0}. Last enemy move: fire spell.","{""attacker"": ""elixer"", ""supporter"": ""fire spell""}","{""attacker"": ""Attacker: [fire spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
